TREATYID,REFERENCE,C1LONG,C2LONG,TYPE,SIGNED,EFFECTIVE,STATUS,C1CODE,C1INCOME,C1REGION,C2CODE,C2INCOME,C2REGION,SOURCE,WHTRATES,PE,OTHER,UN,5i,5ii,5iii,5iv,5v,5vi,5vii,5viii,7i,7ii,8i,10i,10ii,10iii,11i,11ii,12i,12ia,12ib,12iv,13i,13ii,14i,16i,21i,25i,27i,29i
7301,,China,Hungary,Original,1992,1995,In Force,CHN,Upper middle income,East Asia & Pacific,HUN,High income,Europe & Central Asia,0.48,0.38,0.44,0.63,0.47,12,YES,12,YES,YES,NO,NO,YES,NO,YES,NO,10,,10,10,10,10,10,10,0,YES,YES,YES,NO,YES,NO,NO,NA
7304,,Argentina,Spain,Original,1992,1995,Terminated,ARG,Upper middle income,Latin America & Caribbean,ESP,High income,Europe & Central Asia,0.76,0.58,0.97,0.71,0.88,6,YES,6,NO,NO,YES,YES,YES,YES,YES,NO,10,25,15,12.5,12.5,10,15,10,10,,YES,YES,NO,YES,NO,NO,NA
7305,,Mexico,Spain,Original,1992,1995,Superseded,MEX,Upper middle income,Latin America & Caribbean,ESP,High income,Europe & Central Asia,0.44,0.36,0.34,0.63,0.47,6,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,5,25,15,15,10,10,0,10,0,YES,YES,YES,NO,YES,NO,NO,NA
7307,,Ecuador,Mexico,Original,1992,2001,In Force,ECU,Upper middle income,Latin America & Caribbean,MEX,Upper middle income,Latin America & Caribbean,0.52,0.34,0.47,0.75,0.59,6,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,5,,5,15,10,10,10,10,0,YES,YES,YES,NO,YES,NO,NO,NA
7308,,Malaysia,Mauritius,Original,1992,1990,Superseded,MYS,Upper middle income,East Asia & Pacific,MUS,Upper middle income,Sub-Saharan Africa,0.41,0.50,0.47,0.25,0.35,6,YES,NO,YES,YES,YES,NO,YES,NO,YES,NO,5,10,15,15,15,15,15,15,0,NO,NO,NO,NO,YES,NO,NO,NA
7309,,Guyana,United Kingdom,Original,1992,1992,In Force,GUY,Upper middle income,Latin America & Caribbean,GBR,High income,Europe & Central Asia,0.31,0.59,0.06,0.29,0.19,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,10,10,15,15,15,10,10,10,10,,YES,YES,NO,NO,NO,NO,NA
7310,,Mexico,United States,Original,1992,1994,Superseded,MEX,Upper middle income,Latin America & Caribbean,USA,High income,North America,0.44,0.34,0.34,0.63,0.47,6,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,5,10,10,15,4.95,10,10,10,0,YES,YES,YES,NO,YES,NO,NO,LOB
7311,,Mexico,Sweden,Original,1992,1993,In Force,MEX,Upper middle income,Latin America & Caribbean,SWE,High income,Europe & Central Asia,0.50,0.41,0.47,0.63,0.53,6,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,5,10,15,15,10,10,10,10,0,YES,YES,YES,NO,YES,NO,NO,NA
7313,,France,India,Original,1992,1995,Superseded,FRA,High income,Europe & Central Asia,IND,Lower middle income,South Asia,0.69,0.84,0.59,0.63,0.65,6,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,15,,15,15,10,20,20,20,20,YES,YES,YES,NO,YES,NO,NO,NA
7314,,Bolivia,Germany,Original,1992,1991,Superseded,BOL,Lower middle income,Latin America & Caribbean,DEU,High income,Europe & Central Asia,0.30,0.56,0.09,0.25,0.18,6,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,,15,15,15,15,15,15,0,NO,YES,YES,NO,NO,NO,NO,NA
7315,,Indonesia,Poland,Original,1992,1994,Superseded,IDN,Lower middle income,East Asia & Pacific,POL,High income,Europe & Central Asia,0.65,0.47,0.97,0.50,0.71,6,YES,4,NO,NO,YES,YES,YES,YES,YES,NO,10,20,15,10,10,15,15,15,0,NO,NO,YES,NO,YES,NO,NO,NA
7316,,Botswana,Sweden,Original,1992,1993,Superseded,BWA,Upper middle income,Sub-Saharan Africa,SWE,High income,Europe & Central Asia,0.59,0.56,0.72,0.50,0.59,6,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,15,,15,15,15,15,15,15,0,YES,NO,YES,NO,YES,NO,NO,OTHER
7317,,Hungary,Tunisia,Original,1992,1998,In Force,HUN,High income,Europe & Central Asia,TUN,Lower middle income,Middle East & North Africa,0.31,0.59,0.09,0.25,0.24,6,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,10,25,12,12,12,12,12,12,12,NO,NO,YES,NO,NO,NO,NO,NA
7318,,Greece,Tunisia,Original,1992,2011,Superseded,GRC,High income,Europe & Central Asia,TUN,Lower middle income,Middle East & North Africa,0.35,0.46,0.34,0.25,0.29,6,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,10,,10,15,15,12,12,12,0,NO,NO,YES,NO,NO,NO,NO,NA
7319,,"Iran, Islamic Rep.",Malaysia,Original,1992,2006,Superseded,IRN,Upper middle income,Middle East & North Africa,MYS,Upper middle income,East Asia & Pacific,0.43,0.44,0.72,0.13,0.47,6,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,0,,0,15,15,10,10,10,10,NO,NO,NO,NO,YES,NO,NO,NA
7320,,Albania,Hungary,Original,1992,1996,In Force,ALB,Upper middle income,Europe & Central Asia,HUN,High income,Europe & Central Asia,0.11,0.16,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,10,0,0,5,5,5,0,NO,NO,YES,NO,NO,NO,NO,NA
7324,,Belgium,Mexico,Original,1992,1998,Superseded,BEL,High income,Europe & Central Asia,MEX,Upper middle income,Latin America & Caribbean,0.42,0.41,0.34,0.50,0.41,6,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,5,25,15,15,10,10,10,10,0,NO,YES,YES,NO,YES,NO,YES,NA
7325,,"Egypt, Arab Rep.","Korea, Rep.",Original,1992,1992,Superseded,EGY,Lower middle income,Middle East & North Africa,KOR,High income,East Asia & Pacific,0.29,0.53,0.08,0.25,0.15,9,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,10,25,15,15,15,15,15,15,0,NO,NO,YES,NO,YES,NO,NO,NA
7327,,Poland,Ukraine,Original,1993,1995,Superseded,POL,High income,Europe & Central Asia,UKR,Lower middle income,Europe & Central Asia,0.23,0.38,0.06,0.25,0.12,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,15,10,10,10,10,10,0,YES,NO,YES,NO,NO,NO,NO,NA
7328,,Belgium,Gabon,Original,1993,2005,In Force,BEL,High income,Europe & Central Asia,GAB,Upper middle income,Sub-Saharan Africa,0.38,0.54,0.47,0.13,0.29,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,18,,18,15,15,10,10,10,0,NO,NO,YES,NO,NO,NO,YES,NA
7330,,Indonesia,Luxembourg,Original,1993,1995,Superseded,IDN,Lower middle income,East Asia & Pacific,LUX,High income,Europe & Central Asia,0.64,0.56,0.85,0.50,0.71,5,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,10,25,15,10,10,12.5,12.5,12.5,10,NO,NO,YES,NO,YES,NO,NO,NA
7331,,Guinea,Tunisia,Original,1993,,Not In Force,GIN,Low income,Sub-Saharan Africa,TUN,Lower middle income,Middle East & North Africa,0.26,0.22,0.31,0.25,0.24,12,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,7,,7,7,0,7,7,7,0,NO,NO,YES,NO,NO,NO,YES,NA
7334,,India,United Kingdom,Original,1993,1994,Superseded,IND,Lower middle income,South Asia,GBR,High income,Europe & Central Asia,0.65,0.72,0.84,0.38,0.65,6,YES,3,NO,NO,YES,NO,YES,NO,NO,NO,15,,15,15,10,15,15,15,15,YES,YES,YES,NO,NO,NO,NO,NA
7337,,China,Malta,Original,1993,1995,Terminated,CHN,Upper middle income,East Asia & Pacific,MLT,High income,Middle East & North Africa,0.40,0.38,0.46,0.38,0.39,8,YES,8,YES,YES,NO,NO,YES,NO,NO,NO,10,,10,10,10,10,10,10,0,YES,YES,YES,NO,NO,NO,NO,NA
7338,,India,Spain,Original,1993,1996,Superseded,IND,Lower middle income,South Asia,ESP,High income,Europe & Central Asia,0.77,0.83,0.72,0.75,0.76,6,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,15,,15,15,15,20,20,10,20,YES,YES,YES,NO,YES,NO,NO,NA
7339,,Ukraine,United Kingdom,Original,1993,1994,Superseded,UKR,Lower middle income,Europe & Central Asia,GBR,High income,Europe & Central Asia,0.14,0.09,0.06,0.25,0.12,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,20,10,0,0,0,0,0,0,YES,NO,YES,NO,NO,NO,NO,NA
7340,,India,Italy,Original,1993,1996,In Force,IND,Lower middle income,South Asia,ITA,High income,Europe & Central Asia,0.75,0.91,0.72,0.63,0.71,6,YES,NO,NO,NO,YES,NO,YES,YES,NO,NO,15,10,25,15,15,20,20,20,20,YES,YES,YES,NO,YES,NO,NO,NA
7341,,Germany,Mexico,Original,1993,1994,Terminated,DEU,High income,Europe & Central Asia,MEX,Upper middle income,Latin America & Caribbean,0.42,0.41,0.34,0.50,0.41,6,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,5,10,15,15,10,10,10,10,0,NO,YES,YES,NO,YES,NO,NO,NA
7342,,Albania,Poland,Original,1993,1995,Superseded,ALB,Upper middle income,Europe & Central Asia,POL,High income,Europe & Central Asia,0.16,0.28,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,10,10,10,5,5,5,0,NO,NO,YES,NO,NO,NO,NO,NA
7351,,Poland,Tunisia,Original,1993,1994,In Force,POL,High income,Europe & Central Asia,TUN,Lower middle income,Middle East & North Africa,0.42,0.54,0.47,0.25,0.41,6,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,5,25,10,12,12,12,12,12,12,NO,NO,YES,NO,NO,NO,NO,NA
7352,,Morocco,Switzerland,Original,1993,1995,In Force,MAR,Lower middle income,Middle East & North Africa,CHE,High income,Europe & Central Asia,0.33,0.39,0.34,0.25,0.29,6,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,7,25,15,10,10,10,10,10,0,YES,NO,YES,NO,NO,NO,NO,NA
7354,,Indonesia,United Kingdom,Original,1993,1995,Superseded,IDN,Lower middle income,East Asia & Pacific,GBR,High income,Europe & Central Asia,0.52,0.45,0.97,0.14,0.56,6,YES,3,NO,NO,YES,YES,YES,NO,NO,NO,10,15,15,10,10,15,15,10,0,NO,NO,YES,NO,,NO,NO,NA
7357,,Belgium,"Venezuela, RB",Original,1993,1999,In Force,BEL,High income,Europe & Central Asia,VEN,Upper middle income,Latin America & Caribbean,0.25,0.31,0.06,0.38,0.18,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,15,10,10,5,5,5,0,YES,NO,YES,NO,YES,NO,YES,OTHER
7359,,Belgium,India,Original,1993,1998,Superseded,BEL,High income,Europe & Central Asia,IND,Lower middle income,South Asia,0.77,0.84,0.72,0.75,0.76,6,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,15,,15,15,10,20,20,20,20,YES,YES,YES,NO,YES,NO,YES,NA
7361,,Argentina,Canada,Original,1993,1995,In Force,ARG,Upper middle income,Latin America & Caribbean,CAN,High income,North America,0.54,0.58,0.59,0.43,0.56,6,YES,6,YES,YES,NO,YES,YES,YES,NO,NO,10,25,15,12.5,12.5,10,15,10,10,,YES,YES,NO,NO,NO,NO,NA
7372,,China,United Arab Emirates,Original,1993,1995,In Force,CHN,Upper middle income,East Asia & Pacific,ARE,High income,Middle East & North Africa,0.32,0.30,0.38,0.29,0.31,24,YES,12,YES,YES,NO,NO,YES,NO,NO,NO,7,,7,7,7,10,10,10,0,YES,,YES,NO,NO,NO,NO,NA
7373,,Namibia,Sweden,Original,1993,1996,In Force,NAM,Upper middle income,Sub-Saharan Africa,SWE,High income,Europe & Central Asia,0.61,0.63,0.72,0.50,0.65,6,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,5,10,15,10,10,15,15,15,15,YES,NO,YES,NO,YES,NO,NO,NA
7375,,India,Uzbekistan,Original,1993,1993,Superseded,IND,Lower middle income,South Asia,UZB,Lower middle income,Europe & Central Asia,0.52,0.75,0.31,0.50,0.41,12,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,15,,15,15,15,15,15,15,15,YES,YES,YES,NO,YES,NO,NO,NA
7376,,Mexico,Switzerland,Original,1993,1995,Superseded,MEX,Upper middle income,Latin America & Caribbean,CHE,High income,Europe & Central Asia,0.35,0.41,0.34,0.29,0.31,6,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,5,25,15,15,10,10,10,10,0,YES,NO,YES,NO,,NO,NO,NA
7377,,Sweden,"Venezuela, RB",Original,1993,1999,In Force,SWE,High income,Europe & Central Asia,VEN,Upper middle income,Latin America & Caribbean,0.25,0.32,0.06,0.38,0.18,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,10,10,10,7,10,7,0,YES,NO,YES,NO,YES,NO,NO,NA
7382,,Mexico,Netherlands,Original,1993,1995,Superseded,MEX,Upper middle income,Latin America & Caribbean,NLD,High income,Europe & Central Asia,0.47,0.44,0.34,0.63,0.47,6,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,5,10,15,15,5,15,15,15,0,YES,YES,YES,NO,YES,NO,NO,NA
7388,,United Kingdom,Uzbekistan,Original,1993,1995,Superseded,GBR,High income,Europe & Central Asia,UZB,Lower middle income,Europe & Central Asia,0.18,0.22,0.06,0.25,0.12,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,10,10,5,5,5,5,5,0,YES,NO,YES,NO,NO,NO,NO,NA
7395,,France,South Africa,Original,1993,1996,In Force,FRA,High income,Europe & Central Asia,ZAF,Upper middle income,Sub-Saharan Africa,0.15,0.13,0.06,0.25,0.12,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,10,15,0,0,0,0,0,0,YES,NO,YES,NO,NO,NO,NO,NA
7396,,Poland,South Africa,Original,1993,1996,In Force,POL,High income,Europe & Central Asia,ZAF,Upper middle income,Sub-Saharan Africa,0.23,0.38,0.19,0.13,0.12,12,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,15,10,10,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA
7397,,Romania,South Africa,Original,1993,1996,In Force,ROU,Upper middle income,Europe & Central Asia,ZAF,Upper middle income,Sub-Saharan Africa,0.34,0.56,0.33,0.13,0.21,9,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,15,,15,15,15,15,15,15,0,NO,NO,YES,NO,NO,NO,NO,NA
7399,,Germany,Namibia,Original,1993,1993,In Force,DEU,High income,Europe & Central Asia,NAM,Upper middle income,Sub-Saharan Africa,0.21,0.28,0.09,0.25,0.18,6,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,10,10,15,0,0,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA
7404,,Cyprus,"Egypt, Arab Rep.",Original,1993,1996,Terminated,CYP,High income,Europe & Central Asia,EGY,Lower middle income,Middle East & North Africa,0.74,0.50,0.97,0.75,0.82,6,YES,6,NO,NO,YES,YES,YES,NO,YES,NO,15,,15,15,15,10,10,10,0,YES,YES,YES,YES,YES,NO,NO,NA
7405,,Belarus,Ukraine,Original,1993,1996,In Force,BLR,Upper middle income,Europe & Central Asia,UKR,Lower middle income,Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7406,,"Egypt, Arab Rep.",Turkey,Original,1993,1997,In Force,EGY,Lower middle income,Middle East & North Africa,TUR,Upper middle income,Europe & Central Asia,0.44,0.38,0.58,0.38,0.44,9,YES,6,NO,NO,NO,NO,NO,NO,NO,NO,5,25,15,10,10,10,10,10,0,YES,NO,YES,YES,NO,NO,NO,NA
7408,,Bolivia,Sweden,Original,1994,1996,In Force,BOL,Lower middle income,Latin America & Caribbean,SWE,High income,Europe & Central Asia,0.27,0.47,0.22,0.13,0.18,6,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,0,25,15,15,15,15,15,15,0,NO,NO,YES,NO,NO,NO,NO,OTHER
7412,,Albania,Malaysia,Original,1994,1996,Superseded,ALB,Upper middle income,Europe & Central Asia,MYS,Upper middle income,East Asia & Pacific,0.48,0.50,0.70,0.25,0.50,9,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,5,25,15,10,10,10,10,10,10,NO,NO,YES,NO,YES,NO,NO,NA
7413,,India,Singapore,Original,1994,1994,Superseded,IND,Lower middle income,South Asia,SGP,High income,East Asia & Pacific,0.67,0.67,0.84,0.50,0.71,6,YES,3,NO,NO,YES,NO,YES,NO,NO,NO,10,25,15,15,10,15,15,10,15,YES,YES,YES,NO,YES,NO,NO,NA
7414,,Azerbaijan,Turkey,Original,1994,1998,In Force,AZE,Upper middle income,Europe & Central Asia,TUR,Upper middle income,Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7416,,Switzerland,Tunisia,Original,1994,1996,In Force,CHE,High income,Europe & Central Asia,TUN,Lower middle income,Middle East & North Africa,0.32,0.38,0.47,0.13,0.29,6,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,10,,10,10,10,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA
7417,,Czech Republic,Thailand,Original,1994,1996,In Force,CZE,High income,Europe & Central Asia,THA,Upper middle income,East Asia & Pacific,0.58,0.40,0.84,0.50,0.65,6,YES,6,NO,NO,YES,NO,YES,NO,YES,YES,10,,10,10,10,15,5,15,0,NO,NO,YES,NO,YES,NO,NO,NA
7418,,South Africa,"Taiwan, China",Original,1994,1996,In Force,ZAF,Upper middle income,Sub-Saharan Africa,TWN,High income,East Asia & Pacific,0.27,0.38,0.31,0.13,0.18,12,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,5,10,15,10,10,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA
7420,,Azerbaijan,United Kingdom,Original,1994,1996,In Force,AZE,Upper middle income,Europe & Central Asia,GBR,High income,Europe & Central Asia,0.32,0.39,0.31,0.25,0.24,12,NO,6,YES,YES,NO,NO,YES,NO,NO,NO,10,30,15,10,10,10,5,10,0,YES,NO,YES,NO,NO,NO,NO,OTHER
7421,,Russian Federation,Uzbekistan,Original,1994,1996,In Force,RUS,Upper middle income,Europe & Central Asia,UZB,Lower middle income,Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7423,,Hungary,South Africa,Original,1994,1997,In Force,HUN,High income,Europe & Central Asia,ZAF,Upper middle income,Sub-Saharan Africa,0.10,0.13,0.19,0.00,0.06,12,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,15,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NA
7424,,Ukraine,United States,Original,1994,2001,In Force,UKR,Lower middle income,Europe & Central Asia,USA,High income,North America,0.24,0.25,0.09,0.38,0.24,6,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,5,10,15,0,0,10,10,10,0,YES,NO,YES,NO,NO,NO,NO,LOB
7427,,China,Luxembourg,Original,1994,1996,In Force,CHN,Upper middle income,East Asia & Pacific,LUX,High income,Europe & Central Asia,0.39,0.33,0.47,0.38,0.41,6,YES,6,YES,YES,NO,NO,YES,NO,NO,NO,5,25,10,10,10,10,10,6,0,YES,YES,YES,NO,NO,NO,NO,NA
7430,,China,"Korea, Rep.",Original,1994,1995,Superseded,CHN,Upper middle income,East Asia & Pacific,KOR,High income,East Asia & Pacific,0.34,0.30,0.47,0.25,0.35,6,YES,6,YES,YES,NO,NO,YES,NO,NO,NO,5,25,10,10,10,10,10,0,0,YES,NO,YES,NO,NO,NO,NO,NA
7432,,Albania,Turkey,Original,1994,1997,In Force,ALB,Upper middle income,Europe & Central Asia,TUR,Upper middle income,Europe & Central Asia,0.19,0.38,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,15,10,10,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA
7435,,"Egypt, Arab Rep.",United Arab Emirates,Original,1994,1995,In Force,EGY,Lower middle income,Middle East & North Africa,ARE,High income,Middle East & North Africa,0.41,0.25,0.59,0.38,0.47,6,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,0,,0,10,10,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,NA
7437,,China,Paraguay,Original,1994,,Not In Force,CHN,Upper middle income,East Asia & Pacific,PRY,Upper middle income,Latin America & Caribbean,0.19,0.38,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,10,,10,10,10,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA
7438,,Paraguay,"Taiwan, China",Original,1994,2010,Superseded,PRY,Upper middle income,Latin America & Caribbean,TWN,High income,East Asia & Pacific,0.17,0.31,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,,5,10,10,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA
7442,,Albania,Romania,Original,1994,1995,In Force,ALB,Upper middle income,Europe & Central Asia,ROU,Upper middle income,Europe & Central Asia,0.47,0.47,0.58,0.38,0.44,9,YES,9,YES,YES,YES,NO,YES,YES,NO,NO,10,25,15,10,10,15,15,15,0,NO,NO,YES,NO,YES,NO,NO,NA
7446,,Bulgaria,India,Original,1994,1996,In Force,BGR,Upper middle income,Europe & Central Asia,IND,Lower middle income,South Asia,0.77,0.85,0.59,0.88,0.76,6,YES,NO,NO,NO,YES,NO,NO,YES,YES,YES,15,,15,15,15,20,15,20,20,YES,YES,YES,NO,YES,NO,NO,NA
7447,,China,Russian Federation,Original,1994,1998,Terminated,CHN,Upper middle income,East Asia & Pacific,RUS,Upper middle income,Europe & Central Asia,0.39,0.38,0.41,0.38,0.35,18,YES,18,YES,YES,NO,NO,YES,NO,NO,NO,10,,10,10,10,10,10,10,0,YES,YES,YES,NO,NO,NO,NO,NA
7449,,Mexico,United Kingdom,Original,1994,1994,Superseded,MEX,Upper middle income,Latin America & Caribbean,GBR,High income,Europe & Central Asia,0.45,0.25,0.47,0.63,0.53,6,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,0,,0,15,5,10,10,10,0,YES,YES,YES,NO,YES,NO,NO,NA
7451,,Cyprus,India,Original,1994,1993,Terminated,CYP,High income,Europe & Central Asia,IND,Lower middle income,South Asia,0.43,0.59,0.31,0.38,0.35,12,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,10,10,15,10,10,15,15,15,10,NO,NO,YES,NO,YES,NO,NO,NA
7455,,Algeria,Romania,Original,1994,1997,In Force,DZA,Upper middle income,Middle East & North Africa,ROU,Upper middle income,Europe & Central Asia,0.51,0.56,0.72,0.25,0.47,6,YES,6,NO,NO,YES,NO,NO,NO,YES,NO,15,,15,15,15,15,15,15,0,NO,NO,YES,NO,NO,NO,YES,NA
7456,,Croatia,North Macedonia,Original,1994,1997,In Force,HRV,High income,Europe & Central Asia,MKD,Upper middle income,Europe & Central Asia,0.35,0.38,0.31,0.38,0.29,12,YES,12,YES,YES,NO,NO,NO,NO,NO,NO,5,25,15,10,10,10,10,10,0,YES,YES,YES,NO,NO,NO,NO,NA
7458,,China,India,Original,1994,1995,Superseded,CHN,Upper middle income,East Asia & Pacific,IND,Lower middle income,South Asia,0.49,0.50,0.47,0.50,0.53,6,YES,6,YES,YES,NO,NO,YES,NO,NO,NO,10,,10,10,10,10,10,10,10,YES,YES,YES,NO,YES,NO,NO,NA
7459,,China,Mauritius,Original,1994,1995,Superseded,CHN,Upper middle income,East Asia & Pacific,MUS,Upper middle income,Sub-Saharan Africa,0.33,0.31,0.44,0.25,0.29,12,YES,12,YES,YES,NO,NO,YES,NO,NO,NO,5,,5,10,10,10,10,10,0,YES,NO,YES,NO,NO,NO,NO,NA
7460,,Algeria,Turkey,Original,1994,1997,In Force,DZA,Upper middle income,Middle East & North Africa,TUR,Upper middle income,Europe & Central Asia,0.46,0.40,0.72,0.25,0.47,6,YES,6,NO,NO,YES,NO,NO,NO,YES,NO,12,,12,10,10,10,10,10,0,NO,NO,YES,NO,NO,NO,YES,NA
7462,,Jordan,Malaysia,Original,1994,2002,Superseded,JOR,Upper middle income,Middle East & North Africa,MYS,Upper middle income,East Asia & Pacific,0.55,0.69,0.72,0.25,0.53,6,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,10,,10,15,15,15,15,15,15,NO,YES,YES,NO,NO,NO,NO,NA
7471,,India,Malta,Original,1994,1996,Terminated,IND,Lower middle income,South Asia,MLT,High income,Middle East & North Africa,0.48,0.59,0.34,0.50,0.47,6,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,10,25,15,10,10,15,15,15,10,YES,YES,YES,NO,YES,NO,NO,NA
7472,,Czech Republic,Indonesia,Original,1994,1997,In Force,CZE,High income,Europe & Central Asia,IDN,Lower middle income,East Asia & Pacific,0.60,0.47,0.84,0.50,0.65,6,YES,3,NO,NO,NO,YES,YES,YES,YES,NO,10,20,15,12.5,12.5,12.5,12.5,12.5,0,NO,NO,YES,NO,YES,NO,NO,NA
7473,,"Korea, Rep.",Mexico,Original,1994,1996,In Force,KOR,High income,East Asia & Pacific,MEX,Upper middle income,Latin America & Caribbean,0.44,0.34,0.34,0.63,0.47,6,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,0,10,15,15,5,10,10,10,0,YES,YES,YES,NO,YES,NO,NO,NA
7474,,Finland,Ukraine,Original,1994,1996,Superseded,FIN,High income,Europe & Central Asia,UKR,Lower middle income,Europe & Central Asia,0.41,0.29,0.56,0.38,0.41,12,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,5,20,15,10,10,0,10,0,0,YES,NO,YES,NO,NO,NO,NO,NA
7478,,Morocco,Poland,Original,1994,1997,In Force,MAR,Lower middle income,Middle East & North Africa,POL,High income,Europe & Central Asia,0.29,0.51,0.09,0.25,0.24,6,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,7,25,15,10,10,10,10,10,10,YES,NO,YES,NO,NO,NO,NO,NA
7481,,India,Switzerland,Original,1994,1995,Superseded,IND,Lower middle income,South Asia,CHE,High income,Europe & Central Asia,0.61,0.73,0.59,0.50,0.60,6,YES,3,YES,YES,YES,NO,YES,NO,NO,,15,,15,15,15,15,15,10,15,YES,YES,YES,NO,,NO,NO,NA
7482,,Bolivia,United Kingdom,Original,1994,1996,In Force,BOL,Lower middle income,Latin America & Caribbean,GBR,High income,Europe & Central Asia,0.30,0.56,0.09,0.25,0.18,6,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,,15,15,15,15,15,15,0,YES,NO,YES,NO,NO,NO,NO,NA
7483,,Mexico,Singapore,Original,1994,1996,Superseded,MEX,Upper middle income,Latin America & Caribbean,SGP,High income,East Asia & Pacific,0.45,0.25,0.34,0.75,0.53,6,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,0,,0,15,5,10,10,10,0,YES,YES,YES,NO,YES,NO,NO,NA
7484,,Ukraine,Uzbekistan,Original,1994,1996,In Force,UKR,Lower middle income,Europe & Central Asia,UZB,Lower middle income,Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7485,,Moldova,Poland,Original,1994,1996,In Force,MDA,Lower middle income,Europe & Central Asia,POL,High income,Europe & Central Asia,0.23,0.38,0.06,0.25,0.12,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,15,10,10,10,10,10,0,YES,NO,YES,NO,NO,NO,NO,NA
