"Country A","Country B","Type","Date of signature","Effective","Status","Source","WHTrates","PE","Other","UN","5i","5ii","5iii","5iv","5v","5vi","5vii","5viii","7i","7ii","8i","10i","10ii","10iii","11i","11ii","12i","12ia","12ib","12iv","13i","13ii","14i","16i","21i","25i","27i","29i"
"Azerbaijan","Croatia","Original","2012","2014","In Force","0.39","0.34","0.44","0.38","0.35","12","YES","6","YES","YES","NO","YES","NO","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Azerbaijan","Cyprus","Pre-independence","1982","1983","In Force","0.1","0","0.31","0","0.13","12","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0","","0","0","0","0","0","0","0","NO","NO","NO","","NO","NO","NO","NA"
"Azerbaijan","Czechia","Original","2005","2007","In Force","0.59","0.32","0.95","0.5","0.68","9","YES","6","NO","NO","YES","YES","YES","YES","NO","NO","8","","8","10","5","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Azerbaijan","Denmark","Original","2017","2018","In Force","0.3","0.35","0.31","0.25","0.24","12","NO","6","YES","YES","NO","YES","NO","NO","NO","NO","5","20","15","8","8","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","Estonia","Original","2007","2009","In Force","0.35","0.34","0.33","0.38","0.32","9","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Azerbaijan","Finland","Original","2005","2007","In Force","0.37","0.3","0.44","0.38","0.35","12","NO","6","YES","YES","NO","YES","YES","NO","NO","NO","5","25","10","10","10","5","10","5","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Azerbaijan","France","Original","2001","2006","In Force","0.26","0.35","0.19","0.25","0.18","12","NO","6","YES","YES","NO","NO","NO","NO","NO","NO","10","","10","10","10","10","5","10","0","YES","NO","YES","NO","NO","NO","YES","NA"
"Azerbaijan","Georgia","Original","1997","1998","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","Germany","Original","2004","2006","In Force","0.3","0.33","0.31","0.25","0.24","12","YES","NO","YES","YES","NO","YES","NO","NO","NO","NO","5","25","15","10","10","5","10","5","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","Greece","Original","2009","2011","In Force","0.46","0.3","0.83","0.25","0.5","9","YES","6","NO","NO","YES","YES","NO","NO","NO","NO","8","","8","8","8","8","8","8","0","YES","NO","YES","NO","NO","NO","YES","NA"
"Azerbaijan","Hungary","Original","2008","2009","In Force","0.33","0.3","0.44","0.25","0.29","12","YES","6","YES","YES","NO","YES","NO","NO","NO","NO","8","","8","8","8","8","8","8","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","India","Pre-independence","1988","1990","In Force","0.65","0.85","0.59","0.5","0.59","6","YES","NO","NO","NO","YES","NO","NO","NO","NO","YES","15","","15","15","15","20","15","20","20","NO","YES","YES","NO","YES","NO","NO","NA"
"Azerbaijan","Iran","Original","2009","2010","In Force","0.4","0.38","0.56","0.25","0.35","12","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","YES","NA"
"Azerbaijan","Israel","Original","2016","2018","In Force","0.33","0.42","0.31","0.25","0.24","12","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","15","","15","10","10","10","10","5","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Azerbaijan","Italy","Original","2004","2013","In Force","0.34","0.33","0.44","0.25","0.29","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","10","","10","10","10","5","10","5","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Azerbaijan","Jordan","Original","2008","2017","In Force","0.64","0.33","0.97","0.63","0.76","6","YES","6","NO","NO","YES","YES","YES","YES","YES","NO","8","","8","8","8","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Azerbaijan","Kazakhstan","Amended by protocol","2017","2018","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","South Korea","Original","2008","2009","In Force","0.34","0.34","0.44","0.25","0.29","12","YES","6","YES","YES","NO","YES","NO","NO","NO","NO","7","","7","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","YES","NA"
"Azerbaijan","Kuwait","Original","2009","2013","In Force","0.43","0.31","0.72","0.25","0.47","6","YES","6","YES","YES","YES","YES","YES","NO","YES","NO","5","15","10","7","7","10","10","10","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","Latvia","Original","2005","2007","In Force","0.38","0.32","0.45","0.38","0.38","9","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","5","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Azerbaijan","Lithuania","Original","2004","2005","In Force","0.39","0.34","0.45","0.38","0.38","9","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Azerbaijan","Luxembourg","Original","2006","2010","In Force","0.3","0.34","0.44","0.13","0.24","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","30","10","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","YES","NA"
"Azerbaijan","Malaysia","Pre-independence","1987","1989","In Force","0.34","0.33","0.56","0.13","0.29","12","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","0","","0","15","15","10","15","10","0","NO","NO","NO","NO","YES","NO","NO","NA"
"Azerbaijan","Malta","Original","2016","2017","In Force","0.37","0.3","0.56","0.25","0.35","12","YES","6","YES","YES","NO","YES","YES","NO","NO","NO","8","","8","8","8","8","8","8","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","Moldova","Original","1997","2000","In Force","0.44","0.34","0.59","0.38","0.47","6","YES","0","YES","YES","YES","NO","YES","NO","NO","NO","","","15","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Azerbaijan","Montenegro","Original","2013","2014","In Force","0.52","0.38","0.94","0.25","0.53","12","YES","6","NO","NO","YES","YES","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","Netherlands","Original","2008","2010","In Force","0.39","0.34","0.44","0.38","0.35","12","YES","6","YES","YES","NO","YES","NO","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","YES","YES","NO","NO","NO","YES","NA"
"Azerbaijan","North Macedonia","Original","2013","2014","In Force","0.33","0.3","0.44","0.25","0.29","12","YES","NO","YES","YES","NO","YES","YES","NO","NO","NO","8","","8","8","8","8","8","8","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","Norway","Original","1996","1997","In Force","0.28","0.41","0.31","0.13","0.18","12","NO","6","YES","YES","NO","NO","YES","NO","NO","NO","10","30","15","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","YES","NA"
"Azerbaijan","Pakistan","Original","1996","1996","In Force","0.52","0.33","0.97","0.25","0.59","6","YES","6","NO","NO","YES","YES","YES","NO","NO","NO","10","","10","10","10","10","10","0","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","Poland","Original","1997","2006","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","Qatar","Original","2007","2009","In Force","0.49","0.24","0.84","0.38","0.59","6","YES","6","NO","NO","YES","YES","NO","NO","NO","NO","7","","7","7","7","5","5","5","0","NO","NO","YES","YES","YES","NO","NO","NA"
"Azerbaijan","Romania","Original","2002","2005","In Force","0.38","0.32","0.44","0.38","0.35","12","YES","6","YES","YES","NO","NO","YES","YES","NO","NO","5","25","10","8","8","10","10","10","0","YES","NO","YES","NO","NO","NO","YES","NA"
"Azerbaijan","Russia","Original","1997","1999","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","San Marino","Original","2015","2017","In Force","0.5","0.3","0.94","0.25","0.53","12","YES","6","NO","NO","YES","YES","YES","NO","NO","NO","5","25","10","10","10","5","10","5","0","YES","NO","YES","NO","NO","YES","NO","PPT"
"Azerbaijan","Saudi Arabia","Original","2014","2016","In Force","0.59","0.3","0.84","0.63","0.71","6","YES","6","NO","NO","YES","NO","YES","YES","YES","NO","7","","7","7","7","10","10","10","0","NO","YES","YES","NO","YES","NO","NO","OTHER"
"Azerbaijan","Serbia","Original","2010","2011","In Force","0.57","0.38","0.95","0.38","0.62","9","YES","6","NO","NO","YES","YES","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Azerbaijan","Slovenia","Original","2011","2013","In Force","0.38","0.33","0.56","0.25","0.35","12","YES","6","YES","YES","NO","YES","YES","NO","NO","NO","8","","8","8","8","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","Sweden","Original","2016","2017","In Force","0.3","0.35","0.44","0.13","0.24","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","20","15","8","8","10","10","10","0","NO","NO","YES","NO","NO","NO","NO","OTHER"
"Azerbaijan","Switzerland","Original","2006","2008","In Force","0.33","0.3","0.44","0.25","0.29","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","20","15","10","5","5","10","5","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","Tajikistan","Original","2007","2009","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","Turkey","Original","1994","1998","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","Turkmenistan","Original","2018","2020","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","Ukraine","Original","1999","2001","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","United Arab Emirates","Original","2006","2008","In Force","0.51","0.34","0.83","0.38","0.56","9","YES","6","NO","NO","YES","YES","NO","NO","NO","NO","10","","10","7","7","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Azerbaijan","United Kingdom","Original","1994","1996","In Force","0.32","0.39","0.31","0.25","0.24","12","NO","6","YES","YES","NO","NO","YES","NO","NO","NO","10","30","15","10","10","10","5","10","0","YES","NO","YES","NO","NO","NO","NO","OTHER"
"Azerbaijan","United States","Pre-independence","1973","1976","In Force","0.09","0.13","0.14","0","","","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","","","","0","NO LIMIT","0","0","0","0","","","NO","","","NO","NO","NA"
"Azerbaijan","Uzbekistan","Original","1996","1997","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","Vietnam","Original","2014","2015","In Force","0.74","0.5","0.97","0.75","0.88","6","YES","6","NO","NO","YES","YES","YES","YES","YES","NO","10","","10","10","10","10","10","10","10","YES","YES","YES","YES","NO","NO","NO","NA"
"Bahrain","Philippines","Original","2001","2004","In Force","0.63","0.43","0.72","0.75","0.71","6","YES","6","NO","NO","YES","NO","NO","YES","YES","YES","10","10","15","10","10","10","15","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Bahrain","Sri Lanka","Original","2011","2015","In Force","0.73","0.48","0.97","0.75","0.88","6","YES","6","NO","NO","YES","YES","YES","YES","YES","YES","7.5","","10","10","10","10","10","10","10","NO","NO","YES","YES","YES","NO","NO","NA"
"Bahrain","Jordan","Original","2000","2002","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bahrain","Morocco","Original","2000","2002","In Force","0.52","0.34","0.59","0.63","0.59","6","YES","6","YES","YES","NO","YES","YES","NO","YES","NO","5","10","10","10","10","10","10","10","0","YES","NO","YES","YES","YES","NO","NO","NA"
"Bahrain","Syria","Original","2000","2002","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bahrain","Iran","Original","2002","2005","In Force","0.33","0.19","0.56","0.25","0.35","12","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","5","","5","5","5","5","5","5","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Bahrain","Yemen","Original","2002","2005","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bahrain","Lebanon","Original","2003","2006","In Force","0.41","0","0.72","0.5","0.59","6","NO","9","NO","NO","NO","YES","YES","NO","YES","NO","0","","0","0","0","0","0","0","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Bahrain","Sudan","Original","2006","2010","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bahrain","Uzbekistan","Original","2009","2012","In Force","0.51","0.3","0.84","0.38","0.59","6","YES","6","NO","NO","YES","YES","NO","YES","NO","NO","8","","8","8","8","8","8","8","0","YES","NO","YES","NO","NO","NO","NO","OTHER"
"Bahrain","Seychelles","Original","2010","2013","In Force","0.17","0.06","0.31","0.13","0.18","12","YES","NO","YES","YES","NO","YES","NO","NO","NO","NO","0","","0","0","0","5","5","5","0","NO","NO","NO","NO","YES","NO","NO","NA"
"Bahrain","Mexico","Original","2010","2013","In Force","0.56","0.47","0.72","0.5","0.59","6","YES","6","NO","NO","NO","YES","NO","NO","YES","NO","NO LIMIT","","NO LIMIT","10","4.9","10","10","10","0","YES","NO","YES","NO","YES","NO","YES","PPT"
"Bahrain","Turkmenistan","Original","2011","2013","In Force","0.19","0.38","0.06","0.13","0.06","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","NO","NO","NO","NO","NO","NA"
"Bahrain","Georgia","Original","2011","2013","In Force","0.07","0","0.09","0.13","0.12","6","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","0","","0","0","0","0","0","0","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Bahrain","Tajikistan","Original","2014","2017","In Force","0.21","0.3","0.34","0","0.18","6","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","8","","8","8","8","8","8","8","0","NO","NO","NO","NO","NO","NO","NO","NA"
"Bahrain","Bangladesh","Original","2015","2019","In Force","0.42","0.41","0.47","0.38","0.41","6","NO","NO","NO","NO","YES","NO","NO","NO","YES","YES","10","10","15","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Bahrain","Egypt","Original","2016","2019","In Force","0.44","0.34","0.47","0.5","0.47","6","YES","6","YES","YES","NO","YES","NO","NO","YES","NO","5","25","10","10","10","10","10","10","0","NO","YES","YES","NO","YES","NO","NO","PPT"
"Bahrain","China","Amended by protocol","2013","2016","In Force","0.4","0.38","0.31","0.5","0.35","12","YES","NO","YES","YES","NO","NO","YES","NO","YES","NO","10","","10","10","10","10","10","10","0","YES","YES","YES","NO","NO","NO","NO","NA"
"Bahrain","Thailand","Amended by protocol","2017","2018","In Force","0.65","0.47","0.84","0.63","0.71","6","YES","6","NO","NO","YES","NO","YES","NO","YES","YES","10","","10","15","10","15","15","15","0","NO","YES","YES","NO","YES","NO","NO","NA"
"Bahrain","Pakistan","Amended by protocol","2019","2020","In Force","0.52","0.46","0.47","0.63","0.59","6","YES","NO","NO","NO","NO","NO","NO","NO","YES","YES","10","","10","10","10","10","10","0","10","NO","NO","YES","YES","YES","NO","NO","NA"
"Bahrain","Bangladesh","Original","2015","2019","In Force","0.42","0.41","0.47","0.38","0.41","6","NO","NO","NO","NO","YES","NO","NO","NO","YES","YES","10","10","15","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Bahrain","China","Amended by protocol","2013","2016","In Force","0.4","0.38","0.31","0.5","0.35","12","YES","NO","YES","YES","NO","NO","YES","NO","YES","NO","10","","10","10","10","10","10","10","0","YES","YES","YES","NO","NO","NO","NO","NA"
"Bahrain","Egypt","Original","2016","2019","In Force","0.44","0.34","0.47","0.5","0.47","6","YES","6","YES","YES","NO","YES","NO","NO","YES","NO","5","25","10","10","10","10","10","10","0","NO","YES","YES","NO","YES","NO","NO","PPT"
"Bahrain","Georgia","Original","2011","2013","In Force","0.07","0","0.09","0.13","0.12","6","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","0","","0","0","0","0","0","0","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Bahrain","Iran","Original","2002","2005","In Force","0.33","0.19","0.56","0.25","0.35","12","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","5","","5","5","5","5","5","5","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Bahrain","Jordan","Original","2000","2002","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bahrain","Lebanon","Original","2003","2006","In Force","0.41","0","0.72","0.5","0.59","6","NO","9","NO","NO","NO","YES","YES","NO","YES","NO","0","","0","0","0","0","0","0","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Bahrain","Mexico","Original","2010","2013","In Force","0.56","0.47","0.72","0.5","0.59","6","YES","6","NO","NO","NO","YES","NO","NO","YES","NO","NO LIMIT","","NO LIMIT","10","4.9","10","10","10","0","YES","NO","YES","NO","YES","NO","YES","PPT"
"Bahrain","Morocco","Original","2000","2002","In Force","0.52","0.34","0.59","0.63","0.59","6","YES","6","YES","YES","NO","YES","YES","NO","YES","NO","5","10","10","10","10","10","10","10","0","YES","NO","YES","YES","YES","NO","NO","NA"
"Bahrain","Pakistan","Amended by protocol","2019","2020","In Force","0.52","0.46","0.47","0.63","0.59","6","YES","NO","NO","NO","NO","NO","NO","NO","YES","YES","10","","10","10","10","10","10","0","10","NO","NO","YES","YES","YES","NO","NO","NA"
"Bahrain","Philippines","Original","2001","2004","In Force","0.63","0.43","0.72","0.75","0.71","6","YES","6","NO","NO","YES","NO","NO","YES","YES","YES","10","10","15","10","10","10","15","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Bahrain","Seychelles","Original","2010","2013","In Force","0.17","0.06","0.31","0.13","0.18","12","YES","NO","YES","YES","NO","YES","NO","NO","NO","NO","0","","0","0","0","5","5","5","0","NO","NO","NO","NO","YES","NO","NO","NA"
"Bahrain","Sri Lanka","Original","2011","2015","In Force","0.73","0.48","0.97","0.75","0.88","6","YES","6","NO","NO","YES","YES","YES","YES","YES","YES","7.5","","10","10","10","10","10","10","10","NO","NO","YES","YES","YES","NO","NO","NA"
"Bahrain","Sudan","Original","2006","2010","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bahrain","Syria","Original","2000","2002","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bahrain","Tajikistan","Original","2014","2017","In Force","0.21","0.3","0.34","0","0.18","6","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","8","","8","8","8","8","8","8","0","NO","NO","NO","NO","NO","NO","NO","NA"
"Bahrain","Thailand","Amended by protocol","2017","2018","In Force","0.65","0.47","0.84","0.63","0.71","6","YES","6","NO","NO","YES","NO","YES","NO","YES","YES","10","","10","15","10","15","15","15","0","NO","YES","YES","NO","YES","NO","NO","NA"
"Bahrain","Turkmenistan","Original","2011","2013","In Force","0.19","0.38","0.06","0.13","0.06","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","NO","NO","NO","NO","NO","NA"
"Bahrain","Uzbekistan","Original","2009","2012","In Force","0.51","0.3","0.84","0.38","0.59","6","YES","6","NO","NO","YES","YES","NO","YES","NO","NO","8","","8","8","8","8","8","8","0","YES","NO","YES","NO","NO","NO","NO","OTHER"
"Bahrain","Yemen","Original","2002","2005","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","Belgium","Original","1990","1997","In Force","0.45","0.5","0.47","0.38","0.41","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","15","","15","15","15","10","10","10","0","NO","NO","YES","NO","YES","NO","NO","NA"
"Bangladesh","Canada","Original","1982","1982","In Force","0.45","0.5","0.47","0.38","0.41","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","15","","15","15","15","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Bangladesh","China","Original","1996","1998","In Force","0.36","0.38","0.47","0.25","0.35","6","YES","6","YES","YES","NO","NO","YES","NO","NO","YES","10","","10","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Bangladesh","Denmark","Original","1996","1997","In Force","0.44","0.36","0.47","0.5","0.47","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","10","10","15","10","10","10","10","0","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Bangladesh","France","Original","1987","1988","In Force","0.46","0.41","0.47","0.5","0.47","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","10","10","15","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Bangladesh","Germany","Original","1990","1990","In Force","0.51","0.44","0.47","0.63","0.53","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","15","","15","10","10","10","10","10","0","YES","YES","YES","NO","YES","NO","NO","NA"
"Bangladesh","Indonesia","Original","2003","2007","In Force","0.5","0.41","0.72","0.38","0.53","6","YES","3","NO","NO","YES","NO","NO","NO","NO","YES","10","10","15","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Bangladesh","Italy","Original","1990","1980","In Force","0.47","0.44","0.47","0.5","0.47","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","10","10","15","15","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Bangladesh","Japan","Original","1991","1992","In Force","0.38","0.41","0.34","0.38","0.35","6","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","10","25","15","10","10","10","10","10","0","NO","NO","YES","NO","YES","NO","NO","NA"
"Bangladesh","South Korea","Original","1983","1983","In Force","0.46","0.41","0.47","0.5","0.47","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","10","10","15","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Bangladesh","Malaysia","Original","1983","1981","In Force","0.55","0.56","0.59","0.5","0.53","6","YES","NO","NO","NO","YES","NO","NO","NO","NO","YES","15","","15","15","15","15","15","15","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Bangladesh","Mauritius","Original","2009","2012","In Force","0.35","0.13","0.69","0.25","0.41","12","YES","12","NO","NO","YES","NO","NO","NO","NO","YES","10","","10","0","0","0","0","0","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Bangladesh","Netherlands","Original","1993","1995","In Force","0.36","0.35","0.47","0.25","0.35","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","10","10","15","10","7.5","10","10","0","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Bangladesh","Norway","Original","2004","2006","In Force","0.4","0.36","0.47","0.38","0.41","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","10","10","15","10","10","10","10","0","0","NO","NO","YES","NO","YES","NO","YES","NA"
"Bangladesh","Pakistan","Original","1981","1980","In Force","0.51","0.56","0.47","0.5","0.47","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","15","","15","15","15","15","15","15","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Bangladesh","Philippines","Original","1997","2004","In Force","0.56","0.53","0.72","0.43","0.56","6","YES","6","NO","NO","YES","NO","NO","NO","NO","","10","25","15","15","15","15","15","15","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Bangladesh","Poland","Original","1997","2000","In Force","0.46","0.41","0.47","0.5","0.47","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","10","10","15","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Bangladesh","Romania","Original","1987","1989","In Force","0.46","0.41","0.47","0.5","0.47","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","10","10","15","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Bangladesh","Saudi Arabia","Original","2011","2012","In Force","0.6","0.34","0.72","0.75","0.71","6","YES","6","NO","NO","YES","NO","NO","YES","YES","YES","10","","10","7.5","7.5","10","10","10","0","NO","YES","YES","NO","YES","NO","NO","NA"
"Bangladesh","Singapore","Original","1980","1979","In Force","0.43","0.44","0.47","0.38","0.41","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","15","","15","10","10","10","10","10","0","YES","NO","NO","NO","YES","NO","NO","NA"
"Bangladesh","Sri Lanka","Original","1986","1989","In Force","0.49","0.56","0.47","0.43","0.44","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","","15","","15","15","15","15","15","15","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Bangladesh","Sweden","Original","1982","1984","In Force","0.47","0.44","0.47","0.5","0.47","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","10","10","15","15","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Bangladesh","Switzerland","Original","2007","2009","In Force","0.28","0.36","0.09","0.38","0.24","6","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES","10","20","15","10","10","10","10","0","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Bangladesh","Thailand","Original","1997","1998","In Force","0.45","0.5","0.47","0.38","0.41","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","10","10","15","15","10","15","15","15","0","NO","NO","YES","NO","YES","NO","NO","NA"
"Bangladesh","Turkey","Original","1999","2004","In Force","0.22","0.33","0.06","0.25","0.12","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES","10","","10","10","10","10","10","0","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Bangladesh","United Arab Emirates","Original","2011","2013","In Force","0.73","0.47","0.97","0.75","0.88","6","YES","6","NO","NO","YES","YES","YES","YES","YES","YES","5","3","10","10","10","10","10","10","10","YES","NO","YES","YES","NO","NO","NO","NA"
"Bangladesh","United Kingdom","Original","1979","1978","In Force","0.42","0.39","0.47","0.4","0.43","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","","10","10","15","10","7.5","10","10","10","0","YES","NO","YES","","","NO","NO","NA"
"Bangladesh","United States","Original","2004","2006","In Force","0.41","0.33","0.47","0.43","0.44","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","10","10","15","10","5","10","10","0","0","YES","NO","YES","","YES","NO","NO","NA"
"Bangladesh","Vietnam","Original","2004","2006","In Force","0.82","0.75","0.84","0.88","0.88","6","YES","NO","NO","NO","YES","YES","YES","YES","YES","YES","15","","15","15","15","15","15","15","15","YES","YES","YES","NO","YES","NO","NO","NA"
"Bangladesh","India","Amended by protocol","2013","2013","In Force","0.42","0.41","0.47","0.38","0.41","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","10","25","15","10","10","10","10","10","0","NO","NO","YES","NO","YES","NO","YES","NA"
"Bangladesh","Belgium","Original","1990","1997","In Force","0.45","0.5","0.47","0.38","0.41","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","15","","15","15","15","10","10","10","0","NO","NO","YES","NO","YES","NO","NO","NA"
"Bangladesh","Canada","Original","1982","1982","In Force","0.45","0.5","0.47","0.38","0.41","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","15","","15","15","15","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Bangladesh","China","Original","1996","1998","In Force","0.36","0.38","0.47","0.25","0.35","6","YES","6","YES","YES","NO","NO","YES","NO","NO","YES","10","","10","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Bangladesh","Denmark","Original","1996","1997","In Force","0.44","0.36","0.47","0.5","0.47","6","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","10","10","15","10","10","10","10","0","0","YES","NO","YES","NO","YES","NO","NO","NA"
